keyword,volume,difficulty,cnc_position,assigned_page_url,page_type,keyword_in_title,keyword_in_meta,status
changeover switch price in pakistan,200,0,8.61,/collections/changeovers,collection,NO,NO,RANKING (no keyword match)
rcbo,200,0,2.98,/collections/rccb,collection,YES,NO,PARTIAL
magnetic contactor price in pakistan,200,0,8.18,/collections/magnetic-contactors,collection,YES,NO,PARTIAL
voltage controller,200,0,34.78,/collections/voltage-regulator,collection,NO,NO,RANKING (no keyword match)
automatic changeover switch,150,0,5.10,/collections/ats,collection,NO,NO,RANKING (no keyword match)
ac breaker switch,150,0,9.37,/collections/ac-breaker,collection,NO,NO,RANKING (no keyword match)
cnc wifi mcb,150,0,7.41,/collections/wifi-smart-circuit-breakers,collection,NO,NO,RANKING (no keyword match)
electrical db box price in pakistan,150,0,4.31,/collections/db-boxes,collection,NO,NO,RANKING (no keyword match)
circuit breakers,150,29,6.46,/collections/circuit-breakers,collection,YES,NO,PARTIAL
isolator switch,150,0,4.37,/collections/isolator-switch,collection,YES,NO,PARTIAL
electric breaker price in pakistan,150,0,10.54,/collections/circuit-breakers,collection,NO,NO,RANKING (no keyword match)
dc breaker price in pakistan,150,0,4.25,/collections/dc-breaker,collection,YES,NO,PARTIAL
ats switch,150,0,4.53,/collections/ats,collection,NO,NO,RANKING (no keyword match)
change over breaker,150,0,6.78,/collections/changeovers,collection,NO,NO,RANKING (no keyword match)
single pole breaker,150,0,6.73,/collections/circuit-breakers,collection,NO,NO,RANKING (no keyword match)
safety breaker,150,0,35.06,/collections/circuit-breakers,collection,NO,NO,RANKING (no keyword match)
rcbo breaker price in pakistan,150,0,4.73,/collections/rccb,collection,NO,NO,RANKING (no keyword match)
thermostate,150,47,6.86,/collections/thermostat,collection,NO,NO,RANKING (no keyword match)
magnetic connector,150,0,9.65,/collections/magnetic-contactors,collection,NO,NO,RANKING (no keyword match)
ac circuit breaker,100,0,5.76,/collections/ac-breaker,collection,NO,NO,RANKING (no keyword match)
automatic changeover switch price in pakistan,100,0,4.62,/collections/ats,collection,NO,NO,RANKING (no keyword match)
db box price in pakistan,100,0,4.26,/collections/db-boxes,collection,NO,NO,RANKING (no keyword match)
auto changeover switch,100,0,2.78,/collections/ats,collection,NO,NO,RANKING (no keyword match)
best circuit breaker in pakistan,100,0,5.25,/,unknown,NO,NO,RANKING (page not in catalog)
4 pole breaker,100,0,4.42,/products/cnc-4-pole-mccb-molded-case-circuit-breakers-ycm7,collection,NO,NO,RANKING (no keyword match)
3 phase changeover switch,100,0,15.10,/collections/changeover-switch-ep,collection,NO,NO,RANKING (no keyword match)
dc breaker for solar,100,0,6.20,/collections/dc-breaker,collection,NO,NO,RANKING (no keyword match)
air circuit breaker,100,1,4.18,/collections/acb-breakers,collection,YES,NO,PARTIAL
dc cable,100,0,3.01,/collections/cables,collection,NO,NO,RANKING (no keyword match)
terminal block connector,100,0,5.22,/collections/terminal-connector,collection,NO,NO,RANKING (no keyword match)
change over switch price in pakistan,100,0,12.38,/collections/changeovers,collection,NO,NO,RANKING (no keyword match)
ac spd,90,0,5.60,/collections/spd,collection,NO,NO,RANKING (no keyword match)
distribution box price in pakistan,90,0,2.84,/collections/db-boxes,collection,NO,NO,RANKING (no keyword match)
double pole breaker,90,0,20.84,/collections/circuit-breakers,collection,NO,NO,RANKING (no keyword match)
electric change over switch,80,0,8.81,/collections/changeover-switch-ep,collection,NO,NO,RANKING (no keyword match)
electric fuse,80,0,5.05,/collections/ac-fuse,collection,NO,NO,RANKING (no keyword match)
changeover breaker price in pakistan,80,0,8.12,/collections/changeovers,collection,NO,NO,RANKING (no keyword match)
phase sequence relay,80,0,1.70,/collections/phase-sequence-relay,collection,YES,NO,PARTIAL
electric dp box price in pakistan,80,0,6.83,/collections/db-boxes,collection,NO,NO,RANKING (no keyword match)
energy meter,80,0,4.80,/collections/energy-meter,collection,YES,NO,PARTIAL
phase failure relay,80,0,6.99,/collections/phase-sequence-relay,collection,NO,NO,RANKING (no keyword match)
breaker electric,70,1,7.33,/collections/circuit-breakers,collection,NO,NO,RANKING (no keyword match)
dc circuit breaker,70,0,2.69,/collections/dc-breaker,collection,NO,NO,RANKING (no keyword match)
changeover breaker,70,0,7.52,/collections/changeovers,collection,NO,NO,RANKING (no keyword match)
electric db box,70,0,4.65,/collections/db-boxes,collection,NO,NO,RANKING (no keyword match)
electric changeover switch price in pakistan,70,0,14.61,/collections/changeover-switch-ep,collection,NO,NO,RANKING (no keyword match)
dp box price in pakistan,70,0,6.81,/collections/db-boxes,collection,YES,NO,PARTIAL
dp box electrical,70,0,5.75,/collections/db-boxes,collection,NO,NO,RANKING (no keyword match)
electric db,70,0,5.51,/collections/db-boxes,collection,NO,NO,RANKING (no keyword match)
earth leakage circuit breaker price in pakistan,70,0,10.73,/collections/rccb,collection,NO,NO,RANKING (no keyword match)
ac thermostat,70,0,19.36,/collections/thermostat,collection,NO,NO,RANKING (no keyword match)
dc breakers,60,0,6.69,/collections/dc-breaker,collection,NO,NO,RANKING (no keyword match)
electrical db box,60,0,3.94,/collections/db-boxes,collection,NO,NO,RANKING (no keyword match)
breaker changeover,60,0,7.27,/collections/changeovers,collection,NO,NO,RANKING (no keyword match)
spd electrical,60,0,5.93,/collections/spd,collection,NO,NO,RANKING (no keyword match)
industrial products,60,5,5.87,/collections/industrial-products,collection,YES,NO,PARTIAL
3pin socket,60,0,9.00,/products/cnc-industrial-plug-sockets,collection,NO,NO,RANKING (no keyword match)
ac breaker price in pakistan,50,0,7.86,/collections/ac-breaker,collection,YES,NO,PARTIAL
va protector,50,0,5.63,/collections/voltage-protectors,collection,NO,NO,RANKING (no keyword match)
manual changeover switch,50,0,2.99,/collections/changeover-switch-ep,collection,NO,NO,RANKING (no keyword match)
electric distribution box,50,0,3.88,/collections/db-boxes,collection,NO,NO,RANKING (no keyword match)
electric timer switch,50,0,7.18,/collections/timer-ah2n,collection,NO,NO,RANKING (no keyword match)
electrical fire extinguisher,50,0,7.38,/collections/fire-extinguisher,collection,NO,NO,RANKING (no keyword match)
solar cable,50,0,5.33,/collections/cables,collection,NO,NO,RANKING (no keyword match)
electrical distribution box,40,0,3.99,/collections/db-boxes,collection,NO,NO,RANKING (no keyword match)
auto transfer switch,40,0,6.19,/collections/ats,collection,NO,NO,RANKING (no keyword match)
distribution box electrical,40,0,3.28,/collections/db-boxes,collection,NO,NO,RANKING (no keyword match)
single pole circuit breaker,40,0,6.31,/collections/circuit-breakers,collection,NO,NO,RANKING (no keyword match)
acb circuit breaker,40,1,3.73,/collections/acb-breakers,collection,NO,NO,RANKING (no keyword match)
electrical db,40,0,5.17,/collections/db-boxes,collection,NO,NO,RANKING (no keyword match)
over under voltage protection,40,0,3.50,/collections/voltage-protectors,collection,NO,NO,RANKING (no keyword match)
automatic changeover,30,0,3.99,/collections/ats,collection,NO,NO,RANKING (no keyword match)
db box electrical,30,0,4.20,/collections/db-boxes,collection,NO,NO,RANKING (no keyword match)
ats generator,30,0,1.60,/collections/ats,collection,NO,NO,RANKING (no keyword match)
electrical dp box,30,0,5.21,/collections/db-boxes,collection,NO,NO,RANKING (no keyword match)
electric timer,30,0,3.75,/collections/timer-ah2n,collection,NO,NO,RANKING (no keyword match)
db panel,30,0,3.72,/collections/db-boxes,collection,NO,NO,RANKING (no keyword match)
isolater,30,0,7.00,/collections/isolator-switch,collection,NO,NO,RANKING (no keyword match)
wire for solar panel,30,0,8.00,/collections/cables,collection,NO,NO,RANKING (no keyword match)
electricity changeover switch,20,0,13.08,/collections/changeover-switch-ep,collection,NO,NO,RANKING (no keyword match)
rcbo circuit breaker,20,0,3.06,/collections/rccb,collection,NO,NO,RANKING (no keyword match)
voltage control device,10,0,8.57,/collections/voltage-protectors,collection,NO,NO,RANKING (no keyword match)
