referring_domain,domain_rating,backlinks_count,first_seen,source_file
golden-forum.com,58,15,2026-02-09 05:40:00,cncelectric.pk-refdomains-subdomains_2026-04-02_16-57-03.csv; cncelectric.pk-backlinks-subdomains_2026-04-02_17-13-11.csv
rossmanngroup.com,55,1,2026-02-11 05:23:19,cncelectric.pk-refdomains-subdomains_2026-04-02_16-57-03.csv
boards.rossmanngroup.com,55,1,2026-02-11 05:23:19,cncelectric.pk-backlinks-subdomains_2026-04-02_17-13-11.csv
promoteproject.com,46,92,2026-01-23 06:31:45,cncelectric.pk-refdomains-subdomains_2026-04-02_16-57-03.csv; cncelectric.pk-backlinks-subdomains_2026-04-02_17-13-11.csv
dondo.com,45,1,2026-01-04 02:32:57,cncelectric.pk-refdomains-subdomains_2026-04-02_16-57-03.csv; cncelectric.pk-backlinks-subdomains_2026-04-02_17-13-11.csv
jiva.org,44,60,2026-02-10 00:47:49,cncelectric.pk-refdomains-subdomains_2026-04-02_16-57-03.csv
b2bpakistan.com,44,7,2025-10-27 14:34:01,cncelectric.pk-refdomains-subdomains_2026-04-02_16-57-03.csv; cncelectric.pk-backlinks-subdomains_2026-04-02_17-13-11.csv
grantha.jiva.org,44,1,2026-03-15 10:49:57,cncelectric.pk-backlinks-subdomains_2026-04-02_17-13-11.csv
ziuma.com,42,4,2026-01-31 22:36:53,cncelectric.pk-refdomains-subdomains_2026-04-02_16-57-03.csv; cncelectric.pk-backlinks-subdomains_2026-04-02_17-13-11.csv
radiotodayjobs.com,39,1,2026-01-04 12:44:25,cncelectric.pk-refdomains-subdomains_2026-04-02_16-57-03.csv; cncelectric.pk-backlinks-subdomains_2026-04-02_17-13-11.csv
mimigstyle.com,37,1,2026-01-01 04:05:38,cncelectric.pk-refdomains-subdomains_2026-04-02_16-57-03.csv; cncelectric.pk-backlinks-subdomains_2026-04-02_17-13-11.csv
majalahsains.com,36,1,2026-01-27 00:36:50,cncelectric.pk-refdomains-subdomains_2026-04-02_16-57-03.csv; cncelectric.pk-backlinks-subdomains_2026-04-02_17-13-11.csv
tigerhospitality.com,33,1,2026-01-07 15:24:57,cncelectric.pk-refdomains-subdomains_2026-04-02_16-57-03.csv; cncelectric.pk-backlinks-subdomains_2026-04-02_17-13-11.csv
aniarticles.com,32,2,2025-10-08 18:22:40,cncelectric.pk-refdomains-subdomains_2026-04-02_16-57-03.csv; cncelectric.pk-backlinks-subdomains_2026-04-02_17-13-11.csv
xstalk.com,23,1,2026-01-12 21:57:27,cncelectric.pk-refdomains-subdomains_2026-04-02_16-57-03.csv; cncelectric.pk-backlinks-subdomains_2026-04-02_17-13-11.csv
jksuperdrive.com,19,1,2026-01-11 19:24:57,cncelectric.pk-refdomains-subdomains_2026-04-02_16-57-03.csv
careers.jksuperdrive.com,19,1,2026-01-11 19:24:57,cncelectric.pk-backlinks-subdomains_2026-04-02_17-13-11.csv
citysearch.pk,5,1,2025-12-28 16:39:00,cncelectric.pk-refdomains-subdomains_2026-04-02_16-57-03.csv; cncelectric.pk-backlinks-subdomains_2026-04-02_17-13-11.csv
rehbar.pk,1.4,1,2026-01-05 18:35:15,cncelectric.pk-refdomains-subdomains_2026-04-02_16-57-03.csv; cncelectric.pk-backlinks-subdomains_2026-04-02_17-13-11.csv
megasolutionelectricalengineering.com,0.6,1,2025-12-24 08:26:02,cncelectric.pk-refdomains-subdomains_2026-04-02_16-57-03.csv; cncelectric.pk-backlinks-subdomains_2026-04-02_17-13-11.csv
cognitivesolutions.com.pk,0,5,2025-11-16 23:20:32,cncelectric.pk-refdomains-subdomains_2026-04-02_16-57-03.csv; cncelectric.pk-backlinks-subdomains_2026-04-02_17-13-11.csv
punzipper.com,0,1,2026-02-19 17:27:38,cncelectric.pk-refdomains-subdomains_2026-04-02_16-57-03.csv; cncelectric.pk-backlinks-subdomains_2026-04-02_17-13-11.csv
